name,address,contact_email,contact_irc,contact_ml,contact_wiki,id,lat,lng,url
/dev/tal,"Mirker Str. 48a, 42105 Wuppertal, Germany",info@devtal.de,ircs://irc.libera.chat/devtal,discuss@lists.devtal.de,,1,51.26695,7.1457,https://www.devtal.de/blog/
57North Hacklab,"57North Hacklab, c/o Aberdeen Action on Disability, Suite H, Kettock Lodge, Innovation Park, Campus Two, Bridge of Don, Aberdeen AB22 8GU",,irc://irc.libera.chat/#57N,57north-discuss@lists.57north.org.uk,,2,57.17947,-2.110614,https://57north.org.uk/
ACKspace,"Kloosterweg 1, 6412 CN Heerlen",contact@ackspace.nl,ircs://irc.libera.chat:6697/ACKspace,info@lists.ackspace.nl,,3,50.8924622,5.9712601,https://ackspace.nl/
AFRA,"Margaretenstr. 30, 10317 Berlin, Germany",info@afra-berlin.de,irc://irc.freenode.net/#afra,afra@afra-berlin.de,,4,52.5082224,13.4961541,https://afra-berlin.de
Amman Valley MakerSpace,"Youth Resource Center/MakerSpace, Station Road, Glanamman, SA18 1LQ, Wales, United Kingdom",robvenus@cwmamantc.org,,,,5,51.80626,-3.92288,https://cwmaman.org.uk/makerspace/
Apollo-NG,,,irc://irc.freenode.net/apollo,talk@apollo.open-resource.org,,6,,,https://apollo.open-resource.org
Attraktor Makerspace,"Eschelsweg 4, 22767 Hamburg, Germany",office@attraktor.org,,traktoristen@lists.attraktor.org,,7,53.5498443,9.946661,https://blog.attraktor.org/
AwesomeSpace,"Franciscusweg 18, 1216 SK, Hilversum, The Netherlands",info@awesomeretro.org,,,,8,52.213528,5.145344,https://awesomespace.nl
B4CKSP4CE,"Lanskoe shosse, 14/1, 197343, Saint-Petersburg, Russia",,,,,9,59.993811,30.309332,https://0x08.in
Bastli,"AMIV Bastli, CAB E38, Universitätsstrasse 6, 8092 Zürich, Switzerland",go to http://bastli.ch/index.php?page=info,,,,10,47.37861,8.54924,http://www.bastli.ch/
Binary Kitchen,"Binary Kitchen e.V., Walderdorffstr. 13b, 93053 Regensburg",info@binary-kitchen.de,irc://irc.hackint.org/#binary-kitchen,,,11,49.00985285639763,12.118982076644897,https://www.binary-kitchen.de
Bitlair,"Nijverheidsweg-Noord 77, 3812 PK Amersfoort, The Netherlands",info@bitlair.nl,irc://irc.smurfnet.ch/bitlair,general@list.bitlair.nl,,12,52.1697399,5.3561364,https://bitlair.nl/
Breizh Entropy,"134 Avenue du Général Leclerc, 35000 Rennes",contact@breizh-entropy.org,ircs://irc.libera.chat/#breizh-entropy,,,13,48.11387,-1.63699,https://wiki.breizh-entropy.org/wiki/Breizh-Entropy
Brixel,"Spalbeekstraat 34, 3510 Spalbeek, Belgium",info@brixel.be,,,,14,50.95099639892578,5.230583190917969,http://brixel.be
Brisbane Makerspace,"146 Wickham St, Fortitude Valley, QLD 4006 Australia",hello@brisbanemaker.space,,,,15,-27.458819,153.032185,https://brisbanemaker.space
Bytespeicher,"Liebknechtstrasse 8, 99085 Erfurt, Germany",kontakt@technikkultur-erfurt.de,irc://irc.hackint.eu/bytespeicher,bytespeicher@lists.bytespeicher.org,,16,50.98271,11.03965,https://technikkultur-erfurt.de
C3D2,"Raum 1.04.01, Haus B, Zentralwerk, Riesaer Str. 32, 01127 Dresden, Germany",mail@c3d2.de,,c3d2@lists.c3d2.de,,17,51.0810791,13.7286123,https://www.c3d2.de/
CCC Aachen,"Chaos Computer Club Aachen e.V., Schützenstraße 11, 52062 Aachen",mail@aachen.ccc.de,ircs://irc.hackint.org/#cccac,,,18,50.771706,6.09148,https://aachen.ccc.de/
Chaos Computer Club Basel,"Birsfelderstrasse 6, 4132 Muttenz, Switzerland",chaos@ccc-basel.ch,ircs://irc.chaostreff.ch:6601/#basel,basel@chaostreff.ch,,19,47.5323266,7.6342312,https://ccc-basel.ch/
CCC Cologne,"Chaos Computer Club Cologne (c4) e.V., Heliosstr. 6a, 50825 Köln, Germany",mail@koeln.ccc.de,ircs://irc.hackint.org/#cccc,,,20,50.9504142,6.9129647,https://koeln.ccc.de/
CCC Darmstadt,"Wilhelminenstraße 17, 64283 Darmstadt, Germany",info@chaos-darmstadt.de,ircs://irc.hackint.org/chaos-darmstadt,public@lists.darmstadt.ccc.de,,21,49.870889,8.651222,https://www.chaos-darmstadt.de
CCC Frankfurt,"Hohenstaufenstraße 8, 60327 Frankfurt, Germany",noreply@ccc-ffm.de,,,,22,50.10873,8.65656,https://ccc-ffm.de
CCCHH,"Zeiseweg 9, 22765 Hamburg, Germany",mail@hamburg.ccc.de,ircs://irc.hackint.org:6697/#ccchh,talk@hamburg.ccc.de,,23,53.55836,9.94459,https://hamburg.ccc.de/
CCC Mannheim,"CCC Mannheim e.V, Neckarauer Straße 106-116, 68163 Mannheim",info@ccc-mannheim.de,,default@lists.ccc-mannheim.de,,24,49.46369,8.48862,https://mannheim.ccc.de/
CCCFr,"Adlerstr. 12a, 79098 Freiburg, Deutschland",,,ccc-fr@infra.de,,25,47.993194,7.840502,https://cccfr.de
Chaos Computer Club Wien (C3W),"Rathausstrasse 6, 1010 Wien, Austria",contact@c3w.at,,,,26,48.2093723,16.356099,https://c3w.at/
ChaosStuff,"60 Victor Hugo Avenue, Luxembourg-Limpertsberg, L-1750, Luxembourg",info@c3l.lu,,chaosstuff@lists.c3l.lu,,27,49.620709,6.122581,https://wiki.c3l.lu/doku.php?id=chaosstuff
Chaosdorf,"Sonnenstr. 58, 40227 Düsseldorf, Germany",mail@chaosdorf.de,irc://irc.oftc.net/chaosdorf,,,28,51.21261,6.79969,https://chaosdorf.de
Chaospott,"Sibyllastr. 9, 45136 Essen, Germany",info@chaospott.de,irc://irc.hackint.org/#chaospott,discuss@lists.chaospott.de,,29,51.438476,7.024991,https://chaospott.de
Chaostreff Backnang,"dasWohnzimmer, Willy-Brandt-Platz 2, 71522 Backnang, Germany",info@chaostreff-backnang.de,,,,30,48.94862,9.42957,https://chaostreff-backnang.de
Chaostreff Bern,"Zwyssigstrasse 45, 3007 Bern, Switzerland",info@chaostreffbern.ch,,bern@chaostreff.ch,,31,46.944178,7.421927,https://www.chaostreffbern.ch
Chaostreff Chemnitz,"Augustusburger Str. 102, 09126 Chemnitz, Germany",,,kontakt@chaoschemnitz.de,,32,50.830659,12.939537,https://chaoschemnitz.de
Chaostreff Dortmund,"Braunschweiger Str 22, 44145 Dortmund, Germany",,irc://irc.hackint.eu/#ccc.do,discuss@lists.chaostreff-dortmund.de,,33,51.527611,7.4649449,https://www.chaostreff-dortmund.de/
Chaos Computer Club Flensburg,"Apenrader Str. 49, 24939 Flensburg",mail@c3fl.de,,,,34,54.8045778,9.4224836,https://c3fl.de
Chaostreff Ludwigsburg,"Akademiehof 10, 71638 Ludwigsburg, Germany",chaostreff@complb.de,,,,35,48.893,9.192,https://complb.de
